Title,DOI,Journal,Date,Authors,Abstract,PDF_Status
Impact of maternal health on neonatal and long-term kidney outcomes,10.1007/s00467-025-06771-9,Pediatric Nephrology,2026-01-01,"Kamath, Nivedita, Nesargi, Saudamini, Bajpai, Divya, Singarayar, Pravin, Vidal, Enrico, Luyckx, Valerie A.","The increasing prevalence of non-communicable diseases like chronic kidney disease signals the need for a deeper understanding of the impact of the intra-uterine milieu on developmental programming and its impact on health outcomes through the lifespan of an individual. Maternal health in the pre-gestational and gestational phases, including nutrition, exposure to drugs, environmental toxins, infectious and non-infectious diseases, and socio-economic conditions influence the overall development of the fetus as well as the fetal kidney. The small, vulnerable newborn, born from an adverse developmental environment, is predisposed to low nephron number and is at risk for acute kidney injury in the neonatal period. Developmental programming has far-reaching consequences, including a higher risk for cardio-kidney-metabolic diseases, including hypertension and chronic kidney disease, and pregnancy complications, which perpetuates an intergenerational cycle of non-communicable disease risk. This risk can be mitigated by optimizing the care of individuals in the reproductive age group, identifying high-risk pregnancies early, and providing optimal treatment and monitoring. Care of the small vulnerable neonate includes prevention of acute kidney injury and life-long surveillance and modulation of cardio-kidney-metabolic risk. The review focuses on highlighting the influence of maternal health in the pre-gestational and gestational phases on kidney health from the neonatal period to adulthood. Graphical abstract A higher resolution version of the Graphical abstract is available as Supplementary information",Downloaded
Efficient Leaching and Selective Cobalt Extraction from Waste Lithium-Ion Battery Cathodes,10.1007/s11837-025-07967-y,JOM,2026-01-01,"Li, Chuanduo, Liang, Zhipeng, Wang, Yiyong, Jin, Hui, Ma, Fangfang","The effective recovery of valuable metals from waste lithium-ion batteries (LIBs) can promote synergistic growth in both economic and environmental domains. This study underscores the potential benefits of an environmentally sustainable approach that combines leaching and electrodeposition for the recovery of valuable metals from waste lithium-ion batteries. Specifically, it proposes a “citric acid + sodium thiosulfate” system for the effective extraction of valuable metals from waste LIBs along with the separation of Co and Li from the leaching solution via electrodeposition. High-purity LiCoO_2 powder was extracted following pretreatment. Optimal leaching conditions were established through one-way experiments, achieving leaching rates of 98% for both Co and Li. Kinetic studies indicate that leaching primarily involves a combination of surface chemical reactions and diffusive mass transfer. Density functional theory (DFT) investigations revealed that elemental cobalt in solution is predominantly stabilized in the form of cobalt citrate dimer. The separation of metals in the leach solution was achieved by removing cobalt metal via electrochemical analysis. The results demonstrate that the proposed method for the efficient extraction of valuable metals from waste LIBs, along with subsequent metal separation, offers a viable solution for recycling waste LIBs.",Downloaded
Research on Gain Allocation Strategy of Multi-park Integrated Energy System Based on Cooperative Game and Improved Shapley Value Method,10.1007/s42835-025-02445-6,Journal of Electrical Engineering & Technology,2026-01-01,"Yang, Xiyun, Liu, Zhangzheng, Chen, He, Yang, Lei","In the future, an increasing number of integrated energy systems in parks are expected to participate in cooperative games to leverage transactional collaboration among multiple stakeholders and the interaction between various energy sources. Consequently, it is essential to fairly distribute the cooperative benefits of multi-park integrated energy systems. This paper introduces a gain allocation strategy for multi-park integrated energy systems based on cooperative games and an enhanced Shapley value method. The strategy involves establishing a cooperative game model for multi-park integrated energy systems with single-park integrated energy systems as participants. By considering comprehensive costs including energy purchase, operation and maintenance, and transmission loss, the traditional Shapley value method is improved, adhering to principles of overall and individual rationality. The improved Shapley value not only takes into account the contributions of each participant but also includes the costs incurred and risks borne by the participants. This makes the benefit distribution fairer and more realistic. Additionally, it is more scalable and can be applied in more complex practical scenarios. Through case analysis, it was found that the improved Shapley value method reallocates the benefits of the integrated energy systems across various parks. The improved Shapley value method reduced the costs for residential park by 5.86%, increased the costs for commercial park by 3.22%, and raised the costs for industrial park by 4.34%. This has achieved a synergistic effect among the entities, improved resource utilization, and made the benefit distribution within the alliance more rational and balanced.",Downloaded
Polyethylenimine-Impregnated Powdered Activated Carbon for Efficient Removal of Reactive Yellow 2 from Aqueous Solutions,10.1007/s11814-025-00548-4,Korean Journal of Chemical Engineering,2026-01-01,"Kang, Su Bin, Min, Byeong-Chan, Go, Kwang-Il, Li, Yong, Yun, Yeoung-Sang, Won, Sung Wook","This study optimizes polyethylenimine (PEI) impregnation on powdered activated carbon (PAC) to maximize adsorption of the anionic dye Reactive Yellow 2 (RY2). Three factors, namely PEI molecular weight (600, 800, 1200, 10,000 and 70,000 g mol^−1), PEI content (0.1–10 wt.%), and impregnation stirring speed (0–200 rpm), were systematically evaluated in triplicate. Under optimal conditions (PEI Mw = 800 g mol^−1, PEI content = 1.0 wt.%, stirring = 40 rpm), PEI-impregnated PAC achieved a maximum adsorption capacity of 477.02 mg g^−1, which is 7.4-fold higher than raw PAC (64.13 mg g^−1). FT-IR, BET, FE-SEM/EDS, and zeta potential analyses showed that although PEI impregnation reduced surface area, the introduced amine groups increased the surface charge by + 52.64 mV at pH 2, driving the enhanced adsorption. These results demonstrate that PEI-impregnated activated carbon is a strong and efficient adsorbent for RY2 removal in textile wastewater treatment.",Downloaded
Non-premixed Combustion Modeling Study of the Heating Characteristics in a  660t Rotary Furnace for Copper Refining Process,10.1007/s11663-025-03846-8,Metallurgical and Materials Transactions B,2026-01-01,"Lu, Jiajun, Yang, Shiliang, Wang, Hua","Abstract The rotary copper refining furnace is extensively employed in pyrometallurgical crude copper smelting. This study numerically investigates the non-premixed fuel combustion in an industrial-scale rotary copper refining furnace with the capacity of processing 660t melt, which is currently the largest scale in the world, focusing on the impact of nozzle configuration. After validating the model, the combustion characteristics of methane and the influence of nozzle number on the combustion situation are analyzed, including assessments of the temperature field, velocity field, component concentration, and turbulence distribution. The findings indicate that CH_4 and O_2 at the tail end of the jet stream in the anode furnace fully react, with temperatures exceeding 2800 K and velocities surpassing 150 m/s. The flue gas recirculates along the furnace wall, with the maximum recirculation zone located at the end of the furnace. The multi-nozzle configuration with annular oxygen nozzle settings significantly enhances the combustion performance and gas flow behavior in the anode furnace, with the most notable improvement observed with the use of two oxygen nozzles. However, modifications to the nozzle configuration have a negligible effect on the average turbulent kinetic energy and turbulence intensity within the furnace. Graphical Abstract ",Downloaded
No climate havens the expanding threat of climate change to cancer care,10.1038/s41568-025-00867-y,Nature Reviews Cancer,2026-01-01,"Nogueira, Leticia M., Salas, Renee N.","Recent extreme weather events reached communities previously thought to be safe from climate hazards, illustrating the inescapability of climate change. These events increasingly threaten every aspect of cancer control, by disrupting cancer prevention, early detection, treatment, survivorship care and research efforts. The oncology community urgently needs to prioritize solution-focused adaptation and mitigation actions. Recent extreme weather events have impacted communities once considered safe from climate hazards, posing growing challenges to cancer control efforts. Here, Nogueira and Salas argue that the oncology community urgently needs to prioritize solution-focused adaptation and mitigation actions.",No Access
Electrodeposition of Ni-Mo-P Ternary Alloy Electrocatalyst for Hydrogen Evolution Reactions,10.1007/s11837-025-07619-1,JOM,2026-01-01,"Du, Jinjing, Cui, Xinxin, Zhou, Yu, Yangxuan, Yuxiang, Lin, Haiyang, Zhai, Ruitong, Wang, Bin, Li, Qian, He, Xihong, Zhu, Jun, Zuo, Heng","Alkaline water electrolysis is an important method for sustainable hydrogen production, and exploring efficient cathode materials is of utmost importance. In this study, Ni-Mo-P/NF hydrogen evolution cathode materials for alkaline water electrolysis-based hydrogen production were fabricated by electrodeposition method. During this process, with nickel foam (NF) as the substrate, the composition of the plating solution is nickel sulfate, sodium molybdate and sodium hypophosphite. The ions of Ni^2+, MoO_4^2− and H_2PO_2^− in the plating solution were reduced and co-deposited on the surface of the foamed nickel, forming a Ni-Mo-P alloy coating. Furthermore, the electrode surface presented a honeycomb-like structure. The Ni-Mo-P/NF cathode electrode material exhibited excellent electrocatalytic performance, as demonstrated by electrochemical performance tests. In a 1 M KOH electrolyte, the hydrogen evolution reaction (HER) has a relatively low overpotential η_10 of 0.109 V, with a Tafel slope of 121.8 mV/dec; the AC impedance R_ct is 56.47 Ω; the electrochemical specific surface area is 87.6 cm^2. This outstanding catalytic activity is attributed to the synergistic effect among Ni, Mo and P. Mo modulates the electronic structure of Ni, enhancing the adsorption and dissociation of water molecules, whereas P increases the overall catalytic efficiency of the material. This study provides valuable references for the development of highly active nonmetal-based cathode materials in the alkaline water electrolysis field",Downloaded
Efficient Preparation of 7N High-Purity Tellurium Based on Zone Refining with Melting Zone Modulation,10.1007/s11837-025-07855-5,JOM,2026-01-01,"He, Zhi-qiang, Tian, Qing-hua, Xu, Zhi-peng, Guo, Xue-yi, Li, Dong","High-purity tellurium is a critical raw material for applications in solar energy, semiconductors, and other industries. Zone refining is the main method for preparing high-purity tellurium. Precise control over the zone refining temperature and the melting zone length is essential for improving impurity removal efficiency. Simulations demonstrated that optimizing the melting zone length and refining temperature significantly enhanced the stability of the melting zone compared to the unoptimized process. Under the conditions of three zone refining passes, a zone movement speed of 0.5 mm/min, and a hydrogen flow rate of 0.2 L/min, the impurity removal efficiency reached 95.9%, and the tellurium purity increased from 5N8 to 7N3. Achieving an optimal balance between efficiency and purity is crucial in the zone refining process to enhance production efficiency.",Downloaded
Revolutionizing titanium production A comprehensive review of thermochemical and molten salt electrolysis processes,10.1007/s12613-025-3210-y,"International Journal of Minerals, Metallurgy and Materials",2026-01-01,"Ji, Haohang, Guo, Shenghui, Gao, Lei, Yang, Li, Yan, Hengwei, Zeng, Hongbo","Titanium exhibits outstanding properties, particularly, high specific strength and resistance to both high and low temperatures, earning it a reputation as the metal of the future. However, because of the highly reactive nature of titanium, metallic titanium production involves extensive procedures and high costs. Considering its advantages and limitations, the European Union has classified titanium metal as a critical raw material (CRM) of low category. The Kroll process is predominantly used to produce titanium; however, molten salt electrolysis (MSE) is currently being explored for producing metallic titanium at a low cost. Since 2000, electrolytic titanium production has undergone a wave of technological advancements. However, because of the intermediate and disproportionation reactions in the electrolytic titanium production process, the process efficiency and titanium purity according to industrial standards could not be achieved. Consequently, metallic titanium production has gradually diversified into employing technologies such as thermal reduction, MSE, and titanium alloy preparation. This study provides a comprehensive review of research advances in titanium metal preparation technologies over the past two decades, highlighting the challenges faced by the existing methods and proposing potential solutions. It offers useful insights into the development of low-cost titanium preparation technologies.",Downloaded
"Comparison of contamination by polycyclic aromatic hydrocarbons, pesticides and pharmaceuticals in abandoned meanders and channel bars, Czech Republic",10.1007/s10661-025-14928-0,Environmental Monitoring and Assessment,2025-12-24,"Sedláček, Jan, Tolaszová, Jitka, Lenďáková, Zuzana, Bábek, Ondřej, Koukal, Ondřej, Maloušek, Lukáš","This article focuses on the necessity to enhance the current understanding of the accumulation and fate of pesticides and pharmaceuticals (emerging pollutants) in abandoned meanders and adjacent river channel bars. The primary objective of this study is to conduct a comparative analysis of pollutant concentrations in both settings and to identify the driving factors of their deposition. The studied sites are situated within two distinct catchments of the Morava and Odra rivers in the eastern part of the Czech Republic. The most prevalent pesticides were identified as propiconazole, metazachlor and tebuconazole. For caffeine and pharmaceuticals, the peak concentrations exceeded 10 µg/kg. The other pharmaceuticals frequently detected in these sediments were carbamazepine, diclofenac and metoprolol. The polycyclic aromatic hydrocarbons and polychlorinated biphenyls, selected for comparison (hereafter referred to as ‘legacy pollutants’), reached high to extremely high levels due to their frequent use in the past or present. Pollutant assemblages differed between channel bars and abandoned meanders. The maximum concentrations of emerging pollutants have been observed to be generally higher in abandoned meanders; however, the relative occurrence of pollutants has been found to be higher in channel bars. Abandoned meanders are most vulnerable to contamination in the first years following the cut-off, due to the increased frequency of flooding during this period. Consequently, they pose a higher environmental risk. Older meanders contain residual concentrations of pollutants and can serve as long-term sinks for organic pollutants, thereby providing temporal patterns. Conversely, channel bars represent current contamination levels and thus indicate spatial trends.",Downloaded
"Evaluating the reliability, resilience, and vulnerability of water resources the impact of minimum, maximum, environmental flows, and water quality",10.1007/s13201-025-02670-4,Applied Water Science,2025-12-24,"Shekohideh, Hengameh, Vafakhah, Mehdi, Sadeghi, Seyed Hamidreza, Moosavi, Vahid","Surface water resources in the Gorganroud watershed are facing significant reliability challenges due to human activities and climate change. This research aims to assess the resilience, reliability, and vulnerability of water resources across 16 sub-watersheds, focusing on minimum, maximum and environmental flows as well as water quality. The findings indicate that the health of the minimum flow over periods of 7, 30, and 90 days is rated at 0.16, 0.32, and 0.45, respectively, reflecting unhealthy to moderate conditions at the watershed level. Additionally, the maximum flow health score of 0.34 highlights the necessity for effective flood management. Water quality assessments for drinking and agricultural purposes were estimated at 0.52 and 0.57, respectively; however, downstream agricultural sub-watersheds with intensive activities, such as Hajighoshan, Dasht, Gonbad, Ghazaghli, and Gorgan Dam, are facing critical conditions. The overall health of the environmental flow in the watershed is rated at 0.47, with the middle and lower sub-watersheds, including Dasht and Gorgan Dam, exhibiting poor conditions, while mountainous areas, such as Till Abad, demonstrate better performance. These results underscore the urgent need for integrated water resource management, vegetation restoration, and the control of agricultural pollution to enhance watershed health.",Downloaded
"Assessment of heavy metal contamination and ecological risk in alluvial sediments along the Mbam and Noun Rivers, Cameroon (SW Africa)",10.1007/s10661-025-14918-2,Environmental Monitoring and Assessment,2025-12-24,"Ekoa Bessa, Armel Zacharie, Edjengté Doumo, Elvine Paternie, Ambassa Bela, Victorine, Ganmo Koutchouo, Marie, Liyouck, Patrice Roland, Adama, Amaya","This study presents the first comprehensive assessment of heavy metal contamination, ecological risk, and potential human health implications in alluvial sediments from the Mbam and Noun Rivers in Central Cameroon. Eighty-two sediment samples were collected and analyzed by inductively coupled plasma–mass spectrometry (ICP–MS) to determine the concentrations of Cr, V, Ni, Cu, Zn, Pb, Sn, U, and Th. The results were compared with upper continental crust (UCC) background values and ecotoxicological benchmarks, including threshold effect level (TEL), probable effect level (PEL), effect range—low (ERL), and effect range—median (ERM). Several contamination and ecological indices are as follows: contamination factor (CF), enrichment factor (EF), geo-accumulation index (Igeo), pollution load index (PLI), and ecological risk indices (Er, RI) were used to evaluate pollution intensity and its environmental implications. In the Mbam River, metal concentrations generally decreased upstream, following the order V > Cr > Zn > Ni > Cu > Pb > Th > Sn > U, with moderate contamination ( CF  = 1.2–3.5) and PLI values between 1.3 and 1.5, indicating diffuse anthropogenic influence. In contrast, the Noun River displayed extremely high uranium and vanadium enrichment ( CF₍U₎  > 5; EF₍U₎ ≈3.8), resulting in RI values up to 240, which denote considerable to very high ecological risk. Human health indices revealed hazard index (HI) values below 1 for all sites, indicating no immediate non-carcinogenic risk, though children showed higher exposure (HI_child = 0.19–0.34) than adults. Total carcinogenic risk (TCR) values (10^−⁶–10^−4) remained within the acceptable range but were highest at downstream Mbam sites, reflecting cumulative exposure to Cr (VI), Ni, and U. These findings indicate that metal enrichment in both rivers stems from the weathering of uranium-bearing lithologies combined with localized anthropogenic activities, including artisanal mining and agricultural runoff. Continuous monitoring and integrated watershed management are recommended to mitigate ecological degradation and long-term health risks in the Mbam–Noun River system.",Downloaded
Green solvents as a sustainable strategy to reduce the impact of hazardous waste on human health,10.1007/s44371-025-00450-2,Discover Chemistry,2025-12-24,"Maki, Marwan Abdelmahmoud Abdelkarim, Tan, Kin Fai, Yee, Melanie Ting Siong, Mishra, Dinesh Kumar, Venkatesh, M. P., Abduljaleel, Omar Waleed, Karahan, Mesut, Palanirajan, Vijayaraj Kumar","Green solvents have become indispensable in advancing sustainable chemistry by addressing the environmental, health, and safety concerns associated with traditional volatile organic compounds. These solvents, often derived from renewable resources or designed for reduced toxicity and improved biodegradability, align with the principles of green chemistry and offer promising alternatives in both academic research and industrial applications. The transition to greener solvent systems is not only driven by regulatory pressure but also by the increasing demand for cleaner technologies in pharmaceutical, agrochemical, polymer, and food sectors. This review provides a comprehensive overview of the major classes of green solvents including bioalcohols (ethanol, butanol), terpenes (limonene, pine oil), fatty acid methyl esters (soy and palm-based FAMEs), natural deep eutectic solvents, and next-generation solvents such as γ-valerolactone and Cyrene™. The physicochemical properties, functional advantages, and environmental profiles of these solvents are critically examined using established greenness evaluation tools such as the CHEM21 selection guide and solvent selection frameworks. The review further explores innovative case studies and technologies demonstrating the application of green solvents in extraction, synthesis, biopolymer recycling, pesticide formulation, and detergent development. Comparative data, performance benchmarks, and sustainability metrics are provided to illustrate their efficacy relative to conventional solvents like DCM, or hexane. Overall, the review highlights how green solvents contribute to public health, circular economy goals, reduce hazardous waste, and enhance process safety, thereby reinforcing their role as transformative agents in the global shift toward more sustainable and responsible chemical manufacturing practices. Graphical Abstract ",Downloaded
Mudflat halophilic microbiome research progress in biotechnology and eco-environmental sustainability,10.1007/s11274-025-04713-z,World Journal of Microbiology and Biotechnology,2025-12-24,"Dias, Valencia, Vaigankar, Diviya, Gaonkar, Sanket K., Thakur, Narsinh L.","Mudflat is a type of tidal flat ecosystem which thrive between open ocean and mangroves and is influenced by stressful environmental conditions. The mudflat is rich in biodiversity of which microbes offers a valuable resource to the environment and society. However, there is restricted information about practical applications of the discoveries in mudflat from different intertidal regions of the world. In addition, the problem lies in the limited exploration of marine halophilic microorganisms from mudflats, hindering the identification of stable bioactive compounds. Considering this, the study aims to give deeper understanding of the mudflat ecosystem, their dynamic significance and biodiversity interaction with special emphasis on halophilic biotechnology. Herein, the review initially elaborates global mudflat sites, physical and biological characteristics, geological significance and macro and microbial biodiversity. Additionally, the review uncovers the developments in mudflats along with the distribution and biotechnological role of halophilic microbes. Moreover, the study emphasized the recent advancement to unveil composition and functional microbial diversity, current practical challenges, technology readiness for scaling mudflat discoveries and future outlook for further exploration of the mudflat ecosystem for biotechnology and eco-environmental sustainability.  Graphical Abstract ",Downloaded
Co-exploitation of mine-derived geothermal energy recent advances and emerging perspectives,10.1007/s44421-025-00013-2,GeoEnergy Communications,2025-12-24,"Ma, Dan, Gao, Xuefeng, Zhang, Jixiong","With the growing global demand for resources and the intensification of environmental issues, conventional energy utilization methods are no longer sufficient to ensure a clean and sustainable energy supply. Co-exploitation of mine-derived geothermal energy (CMGE), as an innovative and promising technology for the integrated utilization of natural resources, has gained significant attention in recent years. This review summarizes the latest advancements in the field of CMGE, highlighting both progress and persisting challenges. The genesis mechanisms of mine-derived geothermal energy (MGE) and their classification criteria are reviewed, emphasizing the technical feasibility and development framework. Traditional geothermal resource evaluation methods provide the foundation for MGE assessment, but methods accounting for mining-induced effects require further development. Multiscale, physics-based experiments clarify the seepage and heat transfer behaviors of pores, fractures, and rocks. Advanced numerical simulations replicate and invert experimental processes, while also facilitating the scaling of CMGE from microscale to macroscale. Furthermore, the principles, conditions, optimization methods, and limitations of the four current advanced CMGE technologies are clarified, with emphasis on optimizing heat extraction performance from a material perspective. Artificial intelligence has shown its data-driven potential for CMGE, offering powerful tools to overcome technological barriers. The optimization process for MGE’s cascade utilization has advanced from single-parameter to global parameter collaborative optimization. Finally, CMGE currently faces sustainability challenges related to environmental effects, geological stability, and government policies and regulations. The findings support the successful incorporation of geothermal energy from mines into the global energy network, promoting energy security for future generations.",Downloaded
Down the drain exploring wastewater’s role in coastal microbiome transformations,10.1186/s40168-025-02298-1,Microbiome,2025-12-24,"Orel, Neža, Fadeev, Eduard, Celussi, Mauro, Turk, Valentina, Klun, Katja, Afjehi-Sadat, Leila, Herndl, Gerhard J., Tinta, Tinkara","Background Many coastal ecosystems worldwide are impacted by wastewater discharges, which introduce nutrients, pollutants, and allochthonous microbes that can alter microbiome composition and function. Although the severity and distribution of these impacts vary across regions, their potential consequences for key ecological processes remain a concern. The resilience and functional adaptability of native coastal microbiomes are still poorly understood. To study the immediate ecological impact of wastewater discharge on a coastal seawater microbiome, we conducted short-term microcosm experiments, exposing a coastal microbiome to two types of treated wastewater: (i) unfiltered wastewater containing nutrients, pollutants, and allochthonous microbes; and (ii) filtered wastewater containing only nutrients and pollutants. Results By integrating multi-omics and metabolic assays, we show that wastewater-derived organic matter and nutrients (mostly ammonia and phosphate) did not alter the taxonomic composition of the coastal microbiota, but triggered reorganization of metabolic pathways in them. We observed enhanced metabolism of proteins, amino acids, lipids, and carbohydrates, particularly of the lineages Alteromonadales, Rhodobacterales, and Flavobacteriales. Glaciecola (Alteromonadales), a copiotroph with antagonistic traits, significantly contributed to these shifts. Conversely, allochthonous taxa like Legionellales and Pseudomonadales had minimal impact. Elevated phosphorus concentrations resulting from wastewater input reduced the synthesis of proteins linked to scavenging phosphorus from organic phosphorus compounds, including alkaline phosphatase activity in native Rhodobacterales and Flavobacteriales, with important ecological implications for phosphorus-depleted coastal ecosystems. Furthermore, the presence of wastewater caused a decline in relative abundance and metabolic activity of Synechococcus, potentially affecting carbon cycling. Yet, the coastal microbiome rapidly respired wastewater-derived dissolved organic carbon, resulting in bacterial growth efficiencies consistent with global coastal averages. Conclusions Our findings highlight the capacity of coastal microbiomes to withstand wastewater discharge, with critical implications for assessment of anthropogenic perturbations in coastal ecosystems. However, wastewater-driven changes in metabolic functions and niche utilization within the autochthonous microbial community, impacting phosphorus cycling and potentially affecting carbon cycling, may have long-term consequences for ecosystem functioning. Video Abstract",No Access
Porous carbon derived from Congo Red-adsorbed Chitosan for supercapacitor electrodes,10.1007/s10853-025-12050-7,Journal of Materials Science,2025-12-24,"Gao, Yang, Gao, Shan, Zhang, Yunhua, Lyu, Shaoyi, Wang, Feijun","Reuse of dye-containing wastewater for valuable products offers significant potential. Chitosan, a natural high-molecular-weight porous material, served as an effective carrier for dye molecules. This study uses chitosan to adsorb Congo Red, preparing hierarchical porous carbon materials, which are then applied in supercapacitors. The findings reveal that chitosan achieves an impressive adsorption capacity of 1450 mg g^−1 for Congo Red. When the chitosan–Congo Red composite material-based carbon is used as the electrode material, it shows an outstanding specific capacitance of 318 F g^−1 at a current density of 1 A g^−1. Furthermore, due to its high content of heteroatoms such as N, O, and S, the double-layer supercapacitor fabricated with this electrode material demonstrates a specific capacitance of 149.49 F g^−1 at 1 A g^−1, with an energy density of 8.77 Wh kg^−1 at a power density of 335.35 W kg^−1. These results highlight the considerable potential of this material after adsorption of dye-containing wastewater for applications in the energy storage field.",Downloaded
Life Cycle Environmental Impact Analysis of Lithium Carbonate Production from Lepidolite and Comparison with Lithium Extraction from Spodumene,10.1007/s40831-025-01376-w,Journal of Sustainable Metallurgy,2025-12-24,"Wang, Heli, Liu, Zhuo, Liu, Xueying, Zhou, Chen, Yu, Meiying, Peng, Peijie","With the rapid growth in energy storage demand, lepidolite is emerging as the third major source of lithium extraction after brine and spodumene. However, the environmental impacts of lithium extraction from lepidolite remain unclear. This study employs a life cycle assessment (LCA) approach to establish a cradle-to-gate evaluation framework covering the entire process from lepidolite ore mining to lithium carbonate production. The results indicate that the environmental impact of lithium extraction from lepidolite is significantly higher than that from spodumene. Specifically, the endpoint environmental impacts in the categories of human health, ecosystem quality, and resources are 6.23 times, 7.84 times, and 21.61 times greater, respectively. The beneficiation stage accounts for 76.83% of impacts on human health and 81.06% on ecosystems, while the lithium carbonate production stage contributes 86.64% to resource consumption. Key factors influencing environmental impact include electricity, diesel, sulfuric acid, and other raw materials and energy sources. Sensitivity analysis shows that lithium extraction from lepidolite is highly sensitive to the lithium oxide content in the ore and the electricity mix. Increasing the lithium oxide content in lepidolite ore to 0.8% can reduce the overall environmental impact of Land use by up to 34%. Furthermore, as the electricity structure becomes greener, the global warming potential could be reduced to 21% of the current level. Techno-economic analysis indicates that increasing the market price of lithium carbonate and adopting resource recovery measures can significantly improve the economic viability of lithium extraction from lepidolite. This study provides a new perspective for understanding the environmental impacts and economic benefits of lithium extraction from lepidolite. Graphical Abstract ",Downloaded
Trace metals and rare earth elements in sediments along the Muanda River estuary and coastal ocean continuum in an oil exploitation area,10.1007/s43621-025-02481-2,Discover Sustainability,2025-12-24,"Nsiala, Gurvitch O., Mulaji, Crispin K., Carvalho, Fernando P., Biey, Emmanuel M., Poté, John, Atibu, Emmanuel K.","This study evaluated the distribution and ecological risks of trace metals and rare earth elements (REEs) in surface sediments along the river–estuary–coastal continuum of Muanda, Democratic Republic of the Congo (DRC), a region under strong environmental pressure by oil exploitation. Fifteen sediment samples were analyzed by ICP-MS, AAS, and DMA. Sediments were mainly sandy, with variable organic matter (1.75–10.30%) and CaCO_3 (0.26–9.14%) contents, which significantly influenced metal retention. Elevated concentrations of Zn (up to 523.6 mg·kg⁻^1), Pb (311.2 mg·kg⁻^1), Cr (253.6 mg·kg⁻^1), and Cu (165 mg·kg⁻^1) exceeded international Sediment Quality Guidelines (SQGs) and Probable Effect Levels (PELs) on aquatic life, especially near industrialized estuarine sites. Geoaccumulation Index (Igeo) and Enrichment Factor (EF) indices confirmed moderate to severe anthropogenic pollution, while contamination and ecological risk indices (CF, CD, Eri, RI) indicated localized moderate ecological risk, despite overall low cumulative risk due to sedimentary buffering. Total REEs ranged from 3.28 to 6.72 mg·kg⁻^1, markedly lower than shale standards, with slight negative Ce (0.91–0.93) and Eu (0.70–1.17) anomalies, reflecting primarily natural geochemical control. Statistical correlations revealed that organic matter and CaCO_3 acted as key scavengers, enhancing retention of Cu, Zn, Pb, and Hg. Spearman rank correlation analysis confirmed oil industry-related discharges as the dominant source of trace metal enrichment. Spearman correlations highlighted the role of organic matter (OM) and calcium carbonate (CaCO_3) as major binding phases for metals, while PCA confirmed their clustering with REEs in fine sediments and distinguished metals from anthropogenic sources (V, Ni, Cu, Pb, Zn, As, Cd) from metals of geogenic origin. Petroleum exploitation was identified as the main source of contamination, with additional contributions from agriculture, industrial effluents, and maritime activities.",No Access
"Solar thermal systems and AI Past, present, and future",10.1007/s10973-025-14910-5,Journal of Thermal Analysis and Calorimetry,2025-12-24,"Cuce, Pinar Mert, Alvur, Emre, Cuce, Erdem, Soudagar, Manzoore Elahi M., Bouabidi, Abdallah, Guo, Shaopeng, Cao, Jingyu, Khalid, Waqas, Alshahrani, Saad, Alqahtani, Ali Ahmed, Mostafa, Noha A.","This research explores the role of artificial intelligence (AI) in enhancing the efficiency and reliability of solar thermal, photovoltaic (PV), and hybrid energy systems. As the transition from fossil fuels becomes increasingly crucial due to their contribution to global warming and resource depletion, optimising solar energy systems through AI-driven technologies has become imperative. The study examines solar thermal and PV applications for their ability to generate electricity, heat buildings, and support industrial processes, demonstrating how AI techniques, such as artificial neural networks and machine learning models, enhance system performance and enable real-time monitoring. Additionally, hybrid energy systems, which integrate renewable and non-renewable sources like wind, solar, diesel, and fuel cells, are extensively analysed. AI applications, including support vector machines and genetic algorithms, play a key role in improving the efficiency of these systems by forecasting energy production, optimising storage, and minimising system losses. The research concludes with a SWOT analysis, identifying the strengths, weaknesses, opportunities, and threats of AI integration in energy systems while providing strategic recommendations for future research, policy development, and technological innovation. By leveraging AI in solar and hybrid energy solutions, this study offers a comprehensive framework for enhancing sustainability, reducing emissions, and ensuring a stable energy supply.",Downloaded
Coriander powder-derived activated carbon (CPAC)-supported CuO nanocomposite for high-performance supercapacitor and catalytic applications,10.1007/s11164-025-05843-7,Research on Chemical Intermediates,2025-12-24,"Lakkaboyana, Sivarama Krishna, Kalla, Reddi Mohan Naidu, Prabhakar Vattikuti, S. V., Lee, Jaewoong, Praveenkumar, Seepana, Knani, Salah, Alreshidi, Reem","A cost-effective and sustainable coriander powder-derived activated carbon (CPAC) was synthesized directly from coriander powder using potassium carbonate without pre-carbonization. Copper oxide (CuO) nanoparticles were supported on this bio-derived CPAC matrix using a simple impregnation method to enhance the specific capacitance and catalytic performance, such as nitrophenol to aminophenol. The synthesized material was systematically characterized through FTIR, Raman, XRD, SEM, and SEM–EDX. The resulting CPAC@CuO nanocomposite exhibited excellent electrochemical performance, delivering a specific capacitance of 1241 F/g at 1.5 A/g in 3 M KOH electrolyte. The electrode upheld 61.7% capacitance retention after 5000 charge–discharge cycles with a coulombic efficiency of 99.7%, indicating superior cycle stability. Graphical abstract ",Downloaded
